Supplier,Name 1,Unique_Invoices,Exception_Events,Avg_Exc_Per_Inv,Cumulative_Events,Cumulative_Pct
51004197,CHEROKEE INSTRUMENTS INC,3,3,1.0,13061,97.74
51004541,METSO MINERALS INDUSTRIES INC,1,3,3.0,13064,97.76
51006083,EFESO MANAGEMENT CONSULTANTS BV,1,3,3.0,13067,97.78
51004756,DIX & EATON INCORPORATED,2,3,1.5,13070,97.81
51005030,PRO-SAPIEN SOFTWARE LTD,2,3,1.5,13073,97.83
51004005,LECO CORPORATION,1,3,3.0,13076,97.85
51003957,CENTURY CONSTRUCTION GROUP INC,1,3,3.0,13079,97.87
51004505,SEFAR FILTRATION INC,3,3,1.0,13082,97.9
51004248,KNOWBE4 INC,1,3,3.0,13085,97.92
51004949,FUJITSU AUSTRALIA LIMITED,3,3,1.0,13088,97.94
51003982,PRECISION COMPUTER SERVICES INC,1,3,3.0,13091,97.96
51004398,EUREKA WATER CO,2,3,1.5,13094,97.99
51005043,PREMIER TECH TECHNOLOGIES LTD,1,3,3.0,13097,98.01
51004282,BFP ENTERPRISES LLC,1,3,3.0,13100,98.03
51004790,COPERION PROCESS SOLUTIONS LLC,2,3,1.5,13103,98.05
51004014,COMPRESSORS & TOOLS INC,3,3,1.0,13106,98.08
